sentence	lexical verb	trans	gloss	form	comment	p	text	part	theme	perspective	speaker	language	dialect	affiliation	source	page	note
11	стать		1.V.PF	aorist	become	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	755	
12	говорить		V.PF-A	aorist	atr	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	755	
12	идти + быть.должным		HPL=V.IPF	present	quote	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	755	
12	приходить		HPL=V.PF-TEMP1	converb	quote	nonfinite	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	755	
12	развязывать + стать		V-3=V-PF + 3=V-POT	future	become / quote	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	755	looks like a future perfect
13	развязывать-стать		V-NPL.V-IPF-A-PL-EM2-HAB	habitual	past / epistemic marker	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	755	
14	ждать		V-HPL.V-POT	future	quote	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	755	
14	говорить		V.PF-A	aorist	atr	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	756	
15	оставаться		1.V-IPF-AA	present	atr / quote	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	756	
15	говорить		V.PF-A	aorist	atr	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	756	
16	возвращаться		HPL=V.PF	converb		nonfinite	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	756	
16	идти		V.IPF-TEMP1	converb		nonfinite	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	756	
16	бежать		1=V.PF-AA	aorist	atr	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	756	
17	хороший-стать		ADJ-V.PF	aorist	admirative marker separate / quote	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	756	
17	делать		3=V-PF	aorist		not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	756	
18	видеть		4.V-PF-Q2	aorist	question-quote	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	756	
18	делать		4.V.PF-A	aorist	atr	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	756	
19	видеть + не.быть		4.V.PF + V	aorist	quote	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	756	
19	говорить		4.V.PF-A	aorist	atr / quote	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	756	
19	болеть + не.быть		4.V.IPF + V-A-WY	present	atr / subordinating particle / quote	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	
19	говорить		V.PF-A	aorist	atr	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	
20	знать		V.IPF-A-KI	present	atr / subordinating particle / quote	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	
20	стать + не.быть		4.V.IPF-A + V	present	atr / quote	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	
20	говорить		V.PF-A	aorist	atr	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	
21	приходить		1=V.PF-TEMP1	converb	quote	nonfinite	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	
21	видеть		1.V-POT-A	future	atr / quote	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	
21	говорить		V.PF-A	aorist	atr	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	
22	входить		HPL=V.PF-TEMP1	converb		nonfinite	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	
22	есть		4.V-POT	infinitive		nonfinite	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	
22	готовить-делать		V-4.V-IPF	present	past / epistemic marker on complement	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	
22	останавливаться		1=V.PF	converb		nonfinite	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	
23	уходить		NPL=V.PF-MSD-SUP-EL	masdar		nonfinite	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	
23	знать-стать		V-4.V.PF-A-KI	aorist	atr / subordinating particle	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	
23	хотеть-быть		NEG-V-PF-V=1	perfect		P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	perhaps a resultative in the past? i.e. being in a state of wanting something
23	приходить		1.V-POT	infinitive		nonfinite	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	
23	быть + делать		V=NPL + NPL.V-PF	perfect		P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	
23	ломать		4=V.PF-WY	aorist	subordinating particle	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	757	isn’t this a converb?
24	стыдиться-стать + стать		V-4.V.IPF 4.V.PF	imperfect	become	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	758	
25	приходить		1=V.PF-TEMP1	converb		nonfinite	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	758	
25	приходить		4=V.PF-A	aorist	atr	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	758	
26	останавливаться		1=V.PF-AA	aorist	atr	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	758	
26	тянуть-делать		V-4.V-IPF	present		not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	758	
26	думать-стать		V-1.V-IPF-AA	present	atr	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	758	
26	быть		V=NPL	present	quote	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	758	
26	ломаться-делать		4.V-4.V-POT	infinitive	quote	nonfinite	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	758	
26	быть		V=4	present	quote	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	758	
1	хотеть		3=V.IPF-AA	present	atr / intro	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	759	
1	делать		3.V-POT	infinitive		nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	759	
1	стать		3=V.PF-AA	participle	atr	nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	759	
2	делать + стать		HPL.V-IPF-EM2 + HPL=V.IPF-A-PL	present	epistemic marker / atr / become / past	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	759	
3	делать		3=V-PF-EM2	aorist	epistemic marker / intro	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	759	
4	идти + стать		1.V.IPF + 1.V.PF	imperfect	become	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	760	
5	стать + ходить		HPL=V.PF + HPL=V.PF	pluperfect	become	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	760	
6	останавливаться.на.привале		HPL=V.PF-A-PL	aorist	atr	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	760	
6	делать		NPL.V-POT	infinitive		nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	760	
7	идти		1=V.PF-AA	aorist	atr	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	760	
7	искать-делать		V-4.V-POT	infinitive		nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	760	
7	открывать-делать		V-3=V-PF	aorist		not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	760	
7	ложиться		1=V-PF	aorist		not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	760	
7	идти		1=V.PF	aorist		not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	760	
8	просыпаться-стать		V-1.V.PF-TEMP1	converb		nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	760	
8	стать + не.быть		4.V.PF + V	aorist		not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	761	
9	видеть + стать + не.быть		1.V-IPF + 1.V.PF + V	imperfect	become	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	761	
10	знать		V.IPF-EM2	present	epistemic marker / quote	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	761	
10	стать		1.V.PF-MSD	masdar		nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	761	
10	делать		3=V-PF-AA	aorist	atr	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	761	
11	продавать-давать		V-1.V.PF-MSD	masdar		nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	761	
11	считать-делать		V-4.V-IPF-EM2	present	epistemic marker / past	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	761	
12	идти		1.V.IPF	converb		nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	761	
12	думать-стать + стать		V-1.V.IPF + 1.V.PF	imperfect	become	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	761	
12	идти		1=V.PF-COND2	conditional		nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	762	
12	находить-делать		V-1.V-PF	converb		nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	762	
12	убивать		1.V-POT-AA	future	atr	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	762	
13	брать		1=V-PF-AA	aorist	atr	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	762	
14	приходить + не.быть		1.V-POT + V	future	quote	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	762	
15	знать + быть		4.V + V=4=A	durative / present	atr / quote	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	762	
15	давать + стать		1.V.PF + 1.V.PF-MSD	masdar	quote	nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	762	
15	сдаваться-стать		V-1.V-IMP	imperative	quote	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	762	
15	делать		3=V-PF-AA	aorist	atr	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	762	
16	умирать		1.V-IMP-JUSS	jussive	quote	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	763	
16	гореть		1.V.POT-OPT	optative	quote	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	763	
16	говорить		V.PF-A	aorist	atr	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	763	
17	хватать		1.V-PF	converb		nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	763	
17	связывать		1.V.PF-AA	aorist	atr	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	763	
18	стать		4.V-POT-IRR	irrealis	become / quote	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	763	
18	делать		3=V-PF-AA	aorist	atr	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	763	
19	видеть		1.V.PF-ATR	aorist	atr	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	763	
19	связывать		1.V.PF	converb		nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	763	
19	останавливаться		1=V.PF	aorist		not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	763	
20	стать		1.V.PF	aorist	become	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	763	
21	рвать		NPL.V-PF	aorist		not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	763	
21	выхватывать-делать		V-4.V-PF	aorist		not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	764	
21	останавливаться		1=V.PF-AOBL	participle	atr	nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	764	
21	убивать		1.V-PF-AA	aorist	atr	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	764	
22	бежать		1=V.PF	aorist		not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	764	
22	освобождаться-делать		1.V-1.V-PF-AA	aorist	atr	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	764	
23	знать + не.быть-быть		V.IPF + V-V=4	durative / present	quote	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	764	
23	стать		4.V.PF-MSD	masdar		nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	764	
23	делать		3=V-PF-COND2	conditional		nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	764	
23	давать		1.V.PF-WY	aorist	subordinating particle	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	764	
23	говорить		V.PF-A	aorist	atr	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	764	
24	драться		HPL=V-PF	aorist		not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	764	
24	побеждать-стать		V-HPL=V.PF-A-PL	aorist	atr	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	764	
25	идти		1.V-IPF-TEMP1	converb		nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	765	
25	хватать		1.V-PF	aorist	admirative marker to the left	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	765	
26	приходить		HPL=V.PF	aorist		not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	765	
26	спать		1.V.PF-AOBL	participle		nonfinite	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	765	
26	красть		4=V.PF-A	aorist	atr	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	765	
27	делать		3=V-PF-AA	aorist	atr	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	765	
27	идти + стать		1=V.PF + 1.V-IPF-WY	?	become / subordinating particle	NA	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	765	
28	помнить-быть		NOUN-V=3=AA	present	atr / outro	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	765	
28	делать		3.V-IPF-AA-HAB	habitual	atr / outro	not P	Текст Б		retelling a story from grandfather	indirect	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	765	
1	видеть		4.V.PF-A	aorist	atr	not P	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	766	
2	идти + быть		1.V.IPF + V=1	durative	present	not P	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	766	
3	видеть		4.V.IPF-A	present	atr	not P	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	766	
3	быть + переходить		V=3 + 3.V-IPF	durative	present	not P	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	766	
4	быть		V=3-EM1	present	epistemic marker	not P	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	766	
5	видеть + не.быть		1.V.PF + V	aorist		not P	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	766	
5	стать		3=V.PF-AA	aorist	atr	not P	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	766	
6	хотеть		V.PF-AA	aorist	atr	not P	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	767	
6	идти		V.POT	infinitive		nonfinite	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	767	
6	шевелиться		1.V-POT	infinitive		nonfinite	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	767	
6	мочь		NEG-1.V-IPF-AA	present	atr	not P	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	767	
7	видеть		1.V.PF-AA	aorist	atr	not P	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	767	
8	приходить		3=V-POT-AA-EM2	potential	atr / epistemic marker	not P	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	767	
8	делать		3=V-PF	aorist		not P	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	767	
8	просыпаться-стать		V-1.V.PF	aorist		not P	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	767	
9	утро		NOUN-EM1	cop	epistemic marker in predicative function	not P	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	767	
9	время-быть		NOUN.3-V=3	present	past	not P	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	767	
9	вставать 		3.V-POT-AA	infinitive	atr	nonfinite	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	767	
9	стать		3=V.PF	perfect	perfect of auxiliary “be”	P	Текст В		personal story about a dream	direct	Сафар Сайдумов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	767	say what?
1	стать		4.V.PF-A	aorist	atr	not P	Текст Г		personal story	direct	Тагир Айвазов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	768	
2	быть + идти		V=3=AA + V.IPF	durative	atr / epistemic marker on subject	not P	Текст Г		personal story	direct	Тагир Айвазов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	768	
2	быть		V=4=A	present	past / atr / epistemic marker on complement	not P	Текст Г		personal story	direct	Тагир Айвазов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	768	
3	жить-стать		V-1.V.IPF	present	past / epistemic marker on complement	not P	Текст Г		personal story	direct	Тагир Айвазов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	768	
4	переезжать-стать		V-1.V.PF	aorist	atr	not P	Текст Г		personal story	direct	Тагир Айвазов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	768	
